지점,지역,주소,전화번호
서문시장점,대구,대구광역시 중구 큰장로 26길65(대신동),052-272-9989
삼산점,울산,울산광역시 남구 삼산중로 74번길22,
칠곡 왜관점,경북,경상북도 칠곡군 왜관읍 중앙로 165-1,
포항 영일대점,경북,경상북도 포항시 북구 해안로 67-3(항구동),
서구청점,대구,대구광역시 서구 국채보상로 252(평리동),
경산 사동점,경북,경상북도 경산시 백자로 10길3-11(사동),
교대점,대구,대구광역시 남구 중앙대로 216(대명동),
용산점,대구,대구광역시 달서구 용산동 931-7,
경산 중방점,경북,경상북도 경산시 중앙로 76-1(중방동),054-272-9464
포항 이동점,경북,경상북도 포항시 남구 대이로 149(이동),
은행점,대전,대전광역시 중구 대종로 480번길40(은행동),053-654-4426
안지랑점,대구,대구광역시 남구 대명로 168(대명동),
다사점,대구,대구광역시 달성군 다사읍 대실역북로1길 15-4,
포항 문덕점,경북,경상북도 포항시 남구 오천읍 원동로 57,
침산점,대구,대구광역시 북구 침산로 153(침산동),054-859-9292
안동 옥동점,경북,경상북도 안동시 경북대로 423(옥동),
진주 경상대점,경남,경상남도 진주시 진주대로 546(가좌동),
구미 북삼오태점,경북,경상북도 구미시 금오대로 294-1(오태동),
경산 대구대점,경북,경상북도 경산시 진량읍 대구대로 246,055-222-7776
마산 경남대점,경남,경상남도 창원시 마산합포구 월영동1길6(해운동),
시지점,대구,대구광역시 수성구 신매로 19길54,
동호지구점,대구,대구광역시 동구 금강로 13(신서동),070-7722-3738
남포점,부산,부산광역시 중구 남포동3가 남포길 14-1(남포동),051-808-3330
서면점,부산,부산광역시 부산진구 동천로 91-1(부전동),
수원 인계점,경기,경기도 수원시 팔달구 인계로 166번길 48-21(인계동),
칠곡 석적중리점,경북,경상북도 칠곡군 석적읍 유학로 48,
구미 옥계점,경북,경상북도 구미시 옥계북로 40(옥계동),
수성대점,대구,대구광역시 수성구 달구벌대로 528길7(만촌동),
안동 중앙점,경북,경상북도 안동시 남문로 10-4(남문동),
포항 중앙점,경북,경상북도 포항시 북구 중앙상가길 17-1,010-9072-7728
구미 구평점,경북,경상북도 구미시 인동36길 24-2(진평동),
범물점,대구,대구광역시 수성구 지범로 183,
아카데미점,대구,대구광역시 중구 중앙대로 412-21,
대현점,대구,대구광역시 북구 신암로 103(대현동),
성당점,대구,대구광역시 남구 월배로 492(대명동),
구미 인동점,경북,경상북도 구미시 인동중앙로3길19(황상동),
수원 아주대점,경기,경기도 수원시 팔달구 아주로47번길15,
충주점,충북,충청북도 충주시 성서3길 16,053-325-9794
보건대점,대구,대구광역시 북구 칠곡중앙대로 345(태전동),053-215-6737
대구역점,대구,대구광역시 중구 동성로 84(북성로1가),
광장점,대구,대구광역시 서구 달구벌대로 1723(내당동),
경산 하양점,경북,경상북도 경산시 하양읍 하양로 63,
성남점,울산,울산광역시 중구 만남의거리 10(성남동),
율하점,대구,대구광역시 동구 안심로 22길 56,
상인점,대구,대구광역시 달서구 상인서로 85(상인동),
진천점,대구,대구광역시 달서구 월배로 92,
구미 원평점,경북,경상북도 구미시 문화로 36-1(원평동),
경북대점,대구,대구광역시 북구 대학로 23길 19(산격동),
이곡점,대구,"대구광역시 달서구 성서로 420(이곡동, 성서메가타운)",
칠곡점,대구,"대구광역시 북구 학정로 439,104호(동천동)",
동성로점,대구,대구광역시 중구 동성로 2(동성로 3가),
공평점,대구,대구광역시 중구 동성로3길 62,
계명대점,대구,대구광역시 달서구 서당로 9길 30,
